# T8  rate 
5229
0.1 8.472179E-53
0.11 2.184550E-51
0.12 3.478713E-50
0.13 3.844387E-49
0.14 3.195780E-48
0.15 2.116115E-47
0.16 1.164074E-46
0.17 5.491923E-46
0.18 2.277586E-45
0.19 8.465476E-45
0.2 2.863848E-44
0.21 8.927734E-44
0.22 2.590431E-43
0.23 7.053350E-43
0.24 1.814469E-42
0.25 4.435003E-42
0.26 1.034936E-41
0.27 2.315247E-41
0.28 4.983065E-41
0.29 1.035072E-40
0.3 2.080745E-40
0.31 4.057970E-40
0.32 7.694761E-40
0.33 1.421463E-39
0.34 2.562743E-39
0.35 4.516534E-39
0.36 7.792450E-39
0.37 1.317932E-38
0.38 2.187726E-38
0.39 3.568300E-38
0.4 5.724597E-38
0.41 9.041799E-38
0.42 1.407248E-37
0.43 2.159945E-37
0.44 3.271867E-37
0.45 4.894756E-37
0.46 7.236512E-37
0.47 1.057918E-36
0.48 1.530184E-36
0.49 2.190959E-36
0.5 3.106989E-36
0.51 4.365811E-36
0.51054026 4.454034E-36
0.51112838 4.553643E-36
0.51171718 4.657256E-36
0.51230665 4.765058E-36
0.51289681 4.877249E-36
0.51348764 4.994033E-36
0.51407916 5.115634E-36
0.51467135 5.242279E-36
0.51526423 5.374218E-36
0.51585779 5.511708E-36
0.51645204 5.655025E-36
0.51704697 5.804457E-36
0.51764258 5.960309E-36
0.51823888 6.122910E-36
0.51883587 6.292603E-36
0.51943355 6.469754E-36
0.52003191 6.654743E-36
0.52063097 6.847989E-36
0.52123071 7.049917E-36
0.52183114 7.260992E-36
0.52243227 7.481708E-36
0.52303409 7.712579E-36
0.5236366 7.954157E-36
0.52423981 8.207034E-36
0.52484371 8.471827E-36
0.52544831 8.749205E-36
0.5260536 9.039869E-36
0.52665959 9.344574E-36
0.52726628 9.664122E-36
0.52787366 9.999357E-36
0.52848175 1.035120E-35
0.52909054 1.072062E-35
0.52970003 1.110864E-35
0.53031022 1.151637E-35
0.53092111 1.194498E-35
0.53153271 1.239575E-35
0.53214501 1.287001E-35
0.53275802 1.336920E-35
0.53337173 1.389485E-35
0.53398615 1.444863E-35
0.53460128 1.503228E-35
0.53521712 1.564771E-35
0.53583366 1.629692E-35
0.53645092 1.698211E-35
0.53706889 1.770559E-35
0.53768757 1.846985E-35
0.53830696 1.927759E-35
0.53892707 2.013170E-35
0.53954789 2.103526E-35
0.54016942 2.199160E-35
0.54079167 2.300142E-35
0.54141464 2.405679E-35
0.54203833 2.515974E-35
0.54266273 2.631237E-35
0.54328785 2.751688E-35
0.5439137 2.877556E-35
0.54454026 3.009079E-35
0.54516755 3.146509E-35
0.54579556 3.290105E-35
0.54642429 3.440139E-35
0.54705375 3.596895E-35
0.54768393 3.760667E-35
0.54831483 3.931765E-35
0.54894647 4.110510E-35
0.54957883 4.297238E-35
0.55021192 4.492299E-35
0.55084574 4.696058E-35
0.55148029 4.908896E-35
0.55211557 5.131210E-35
0.55275158 5.363415E-35
0.55338833 5.605942E-35
0.55402581 5.859242E-35
0.55466402 6.123786E-35
0.55530297 6.400062E-35
0.55594265 6.688583E-35
0.55658307 6.989880E-35
0.55722423 7.304510E-35
0.55786613 7.633051E-35
0.55850877 7.976109E-35
0.55915215 8.334312E-35
0.55979626 8.708317E-35
0.56044112 9.098809E-35
0.56108673 9.506501E-35
0.56173307 9.932137E-35
0.56238017 1.037649E-34
0.563028 1.084038E-34
0.56367659 1.132463E-34
0.56432592 1.183014E-34
