# tablE for ExpErimEntal ratE
#                         
#    T8     ratE 

6603
0.10000691 2.9921109E-71
0.10012211 3.1931598E-71
0.10023745 3.4076344E-71
0.10035292 3.6364257E-71
0.10046852 3.8804835E-71
0.10058425 4.1408201E-71
0.10070012 4.4185145E-71
0.10081612 4.7147168E-71
0.10093226 5.0306528E-71
0.10104853 5.3676291E-71
0.10116493 5.7270382E-71
0.10128147 6.110364E-71
0.10139814 6.5191881E-71
0.10151495 6.9551962E-71
0.10163189 7.4201844E-71
0.10174896 7.9160669E-71
0.10186617 8.4448835E-71
0.10198352 9.008808E-71
0.102101 9.6101565E-71
0.10221862 1.0251397E-70
0.10233637 1.0935159E-70
0.10245425 1.1664246E-70
0.10257228 1.2441641E-70
0.10269044 1.3270528E-70
0.10280873 1.4154293E-70
0.10292716 1.5096549E-70
0.10304573 1.6101142E-70
0.10316443 1.7172171E-70
0.10328327 1.8314E-70
0.10340225 1.9531282E-70
0.10352137 2.082897E-70
0.10364062 2.2212343E-70
0.10376001 2.3687024E-70
0.10387953 2.5258999E-70
0.1039992 2.693465E-70
0.104119 2.8720769E-70
0.10423894 3.0624595E-70
0.10435902 3.2653835E-70
0.10447924 3.48167E-70
0.10459959 3.7121932E-70
0.10472009 3.9578845E-70
0.10484072 4.2197355E-70
0.10496149 4.4988026E-70
0.1050824 4.7962103E-70
0.10520345 5.1131566E-70
0.10532464 5.450917E-70
0.10544597 5.8108498E-70
0.10556744 6.1944012E-70
0.10568905 6.6031114E-70
0.1058108 7.0386202E-70
0.10593269 7.5026737E-70
0.10605472 7.9971311E-70
0.10617689 8.5239718E-70
0.1062992 9.0853033E-70
0.10642165 9.6833693E-70
0.10654424 1.0320559E-69
0.10666698 1.0999415E-69
0.10678985 1.1722644E-69
0.10691287 1.249313E-69
0.10703603 1.3313941E-69
0.10715933 1.4188341E-69
0.10728277 1.511981E-69
0.10740636 1.6112046E-69
0.10753009 1.7168991E-69
0.10765396 1.8294836E-69
0.10777797 1.9494045E-69
0.10790212 2.0771369E-69
0.10802642 2.2131863E-69
0.10815086 2.3580909E-69
0.10827545 2.5124234E-69
0.10840018 2.6767932E-69
0.10852505 2.8518492E-69
0.10865007 3.0382816E-69
0.10877523 3.236825E-69
0.10890053 3.4482612E-69
0.10902598 3.6734222E-69
0.10915157 3.9131931E-69
0.10927731 4.1685161E-69
0.10940319 4.4403932E-69
0.10952922 4.7298912E-69
0.10965539 5.0381448E-69
0.10978171 5.3663614E-69
0.10990817 5.7158256E-69
0.11003478 6.0879041E-69
0.11016154 6.4840511E-69
0.11028844 6.9058136E-69
